name,price,location,sold,date
"Acer Aspire C24-960 Thin AIO Core i3-10110U 4GB 1TB 23.8"" FHD W10",7.399.000,KOTA JAKARTA PUSAT,9,15-01-2021
ACER ASPIRE 3 SLIM A314 AMD RYZEN 3 3250 RAM4GB SSD256GB FHD  WINDOWS 10 + OHS ORIGINAL,6.999.000,KOTA JAKARTA PUSAT,6,15-01-2021
Netbook Acer Aspire ES1-131-C7YE Red Second,2.199.000,KAB. BANDUNG,1,15-01-2021
"ACER ASPIRE 5 A514-52G i7 10510U 8GB 1TB SSD MX250 2GB 14"" WIN10  OHS",13.999.000,KOTA JAKARTA UTARA,1,15-01-2021
Acer Aspire E5-476G-58ZV Processor I5 Generasi 8th Hardisk 1TB NVIDIA GEFORCE & BONUS TAS LAPTOP,7.349.000,KOTA SURABAYA,2,15-01-2021
Desktop Acer Aspire TC-708 | UX.BC7SD.009,7.999.000,KOTA TANGERANG SELATAN,1,15-01-2021
ACER ASPIRE 3 A315 42 R1RE R3 3200U 4GB 500GB W10,6.161.000,KOTA TANGERANG,3,15-01-2021
Acer Aspire E5 475G White i5-7200U/4GB/1TB/940MX-2GB Second,5.499.000,KAB. BANDUNG,4,15-01-2021
ACER ASPIRE 5 A514-52G-59RA i5 10210 4GB 1TB MX250 2GB W10+OHS 14.0,8.350.000,KOTA JAKARTA PUSAT,2,15-01-2021
"LAPTOP ACER ASPIRE 3 SLIM A314-22 R4ZD - RYZEN 5-3500U - 8GB - 512GB SSD - 14""FHD - WIN10 - OFFICE",8.299.000,KOTA JAKARTA BARAT,2,15-01-2021
Laptop Aspire 3 Slim A314-22 | NX.HVVSN.00N Black,6.399.000,KOTA TANGERANG SELATAN,4,15-01-2021
"ACER Aspire Switch 10- INTEL ATOM Z3735F -2GB-64GB SSD-10""",1.960.000,KOTA DEPOK,106,15-01-2021
"LAPTOP ACER ASPIRE 5 A514 53 - i3-1005G1 - 4GB - 512SSD + INTEL OPTANE - 14""FHD - W10 - OFFICE",7.499.000,KOTA JAKARTA BARAT,33,15-01-2021
Notebook Acer Aspire Series Windows 10,4.660.000,KOTA JAKARTA BARAT,3,15-01-2021
Acer Aspire 5 A514-52G Core i7-10510U/8GB DDR/ 1TB SSD NVMe/ MX250 W10,14.685.000,KOTA JAKARTA PUSAT,2,15-01-2021
NoteBook ACER ASPIRE A311-31-N4000-4GB-500GB-Windows 10 BLACK,3.435.000,KOTA BANDUNG,1,15-01-2021
FULSET Laptop Acer Aspire 4739 Series Hardisk 320GB siap pakai BONUS TAS & MOUSE,1.990.000,KOTA BEKASI,13,15-01-2021
Laptop Gaming Acer Aspire 3 A314 AMD Athlon 3050U - 8GB - SSD - Win10,6.110.000,KOTA JAKARTA SELATAN,1,15-01-2021
Acer Aspire 4736Z versi DDR3,1.750.000,KAB. BANDUNG,1,15-01-2021
Acer Aspire E1-421 Fullset Lengkap Laptop Second Bekas Murah RAM 2GB HDD 320GB VGA ATI Radeon,2.000.000,KAB. INDRAMAYU,1,15-01-2021
"LAPTOP ACER ASPIRE 5 A514-54G i5-1135G7 8GB 512GB MX350 2GB 14"" W10+OHS",10.999.000,KOTA JAKARTA PUSAT,1,15-01-2021
Notebook Acer Aspire ES 11 4GB/500GB Black second,2.799.000,KAB. BANDUNG,24,15-01-2021
ACER ASPIRE 4732Z PENTIUM DUAL CORE(2GB/320GB)BERGARANSI+BONUS,1.600.000,KOTA MEDAN,1,15-01-2021
Notebok Netbook Laptop Acer Aspire One 722 bergaransi,1.600.000,KOTA TANGERANG SELATAN,5,15-01-2021
"LAPTOP ACER ASPIRE 5 A514 53 i3-1005G1/4GB/SSD512GB/14""HD/WIN10-Magic Color(purple)",7.250.000,KOTA BANDUNG,1,15-01-2021
LAPTOP ACER ASPIRE 5 A514-CORE i3 1005G1-4GB-SSD 512GB-32OPTANE FHD 14,7.658.900,KOTA SURABAYA,1,15-01-2021
Acer Aspire One 722 AO722 Layar 12 Inch Merah Netbook Notebook Bekas Second Red 2GB 320GB ATI Radeon,1.600.000,KAB. INDRAMAYU,2,15-01-2021
"LAPTOP ACER ASPIRE 5 A514-53 - i3-1005G1 4GB 512GB + OPTANE 14"" FHD IPS magic purple",7.349.000,KOTA JAKARTA PUSAT,1,15-01-2021
PROMO LAPTOP GAMING ACER ASPIRE A514-53G CORE i5 - MX350 - 4GB RAM-1TB HDD - MURAH - BERKUALITAS,8.790.900,KOTA SURABAYA,2,15-01-2021
LAPTOP ACER ASPIRE 5 A514-51G - i5-8265U 4GB 1TB MX230 2GB 14HD WIN10,8.800.000,KOTA JAKARTA PUSAT,3,15-01-2021
"LAPTOP ACER ASPIRE 3 A314-22 AMD ATHLON 3050U 4GB 256GB 14"" FHD W10",5.950.000,KOTA JAKARTA PUSAT,5,15-01-2021
Laptop Acer Aspire ES 14 ES5-411 Black second,2.750.000,KOTA BANDUNG,1,15-01-2021
PROMO LAPTOP ACER ASPIRE A314-42PE/AMD A4-9120/4GB/1TB/WIN 10/RESMI,4.860.000,KOTA SURABAYA,1,15-01-2021
Netbook Acer Aspire One 756 11 inch Hitam,1.565.000,KOTA MAGELANG,2,15-01-2021
Acer Aspire 3 A314-32-C09W Notebook - Red [14 Inch/ N4000/ 4GB/ 1TB/ Windows 10] free antigores,4.299.000,KOTA JAKARTA PUSAT,1,15-01-2021
OBRAL CUCI GUDANG LAPTOP Acer Aspire R3-471TG-513C CORE I5 NVIDIA GEFORCE BERGARANSI,4.560.000,KOTA SURABAYA,1,15-01-2021
LAPTOP ACER ASPIRE 5 A514 53 FULL HD i3-1005G1 512GB SSD FREE OFFICE,7.699.000,KOTA JAKARTA PUSAT,1,15-01-2021
"Acer Aspire C22-960 Thin AIO Desktop Core i3-10110U 4GB 1TB 21,5""FHD W10",6.999.000,KOTA JAKARTA PUSAT,1,15-01-2021
Laptop sekolah /karyawan... Acer Aspire 2920 core 2duo,1.750.000,KOTA JAKARTA BARAT,1,15-01-2021
PC ACER ASPIRE TC-708 CORE I3 GEN 7 -RAM DDR4 4GB HDD 1TB -DVD RW TOWER,2.800.000,KAB. BEKASI,1,15-01-2021
NOTEBOOK ACER ASPIRE V5-131 SECOND / NOTEBOOK ACER BEKAS,1.900.000,KOTA MALANG,1,15-01-2021
ASPIRE 4750 RAM 2GB Hdd 500Gb. 14inc Core i3,1.650.000,KOTA MATARAM,1,15-01-2021
Notebook Acer Aspire One White Second,1.599.000,KAB. BANDUNG,1,15-01-2021
notebook acer aspire one AOD270 N2600,1.500.000,KAB. BANDUNG,1,15-01-2021
Laptop ACER Aspire 5 Slim A514 | i7 1165G7 8GB 512ssd MX350 2GB W10+OHS 14.0FHD |-54G,12.999.000,KOTA JAKARTA UTARA,1,15-01-2021
Motherboard Acer Aspire E5-471G Intel Core i7 VGA Nvidia DA0ZQ0MB6E0,2.820.000,KOTA MEDAN,1,15-01-2021
Motherboard Acer Aspire E1-470G Core i5 VGA NVIDIA,1.690.000,KOTA MEDAN,1,15-01-2021
LAPTOP ACER Aspire 3 AMD A9 9420 4GB 1TB R5 W10 A314-41-9556 983D,6.000.000,KOTA JAKARTA SELATAN,1,15-01-2021
LAPTOP PC ACER A314-22 Ryzen 3 -3250 Win 10+ OHS,7.199.000,KOTA BEKASI,0,16-01-2021
Acer Aspire V5 132,2.000.000,KOTA BANDUNG,1,16-01-2021
"acer aspire es1-431 N3050 RAM 4GB HDD 500GB
",3.950.000,KOTA JAKARTA BARAT,1,16-01-2021
ACER ASPIRE S3 INTEL CORE I7 GEN3,4.500.000,KAB. BANDUNG,1,16-01-2021
ACER ASPIRE 2IN1 R7 372RT I5 6200U 8GB RAM 128GB SSD,5.150.000,KOTA JAKARTA SELATAN,3,16-01-2021
Laptop Acer Aspire V5 471 Core i3 gen 3 Desain Slim Mulus Siap Pakai,2.700.000,KOTA JAKARTA PUSAT,1,16-01-2021
Laptop Notebook Netbook Acer Aspire V5 121 Murah Bergaransi Siap Pakai,1.650.000,KOTA TANGERANG SELATAN,4,16-01-2021
"Acer Aspire 5 A515-44-R7NZ [15.6""/R5-4500/8GB/SSD512/OHS] Black [NX.HW1SN.006]",8.599.000,KOTA JAKARTA TIMUR,1,16-01-2021
"Laptop Acer Aspire 3 A314-41-42PE, AMD A4-9120e Ram 4gb HDD 1tb",4.250.000,KOTA BOGOR,1,16-01-2021
Acer Aspire S3 Series Intel Core i3 2th 4gb second,2.700.000,KOTA BANDUNG,1,16-01-2021
Acer Aspire 5 Slim A515 R7NZ - AMD Ryzen 5 4500 8GB 512ssd Vega 6 W10+OHS,8.899.000,KOTA JAKARTA UTARA,3,16-01-2021
Laptop Bekas Acer Aspire E5 421 Gaming / Grafis Murah Bergaransi,2.500.000,KOTA TANGERANG SELATAN,15,16-01-2021
Acer Aspire 3 Slim A314 Ryzen 5 3500 8GB 512ssd Vega8 FHD BLACK FREE OHS,8.199.000,KOTA BEKASI,1,16-01-2021
"ACER ASPIRE 3 SLIM A314 AMD RYZEN 3 3250 RAM4/8GB SSD512GB 14""HD WINDOWS 10 + OHS ORIGINAL",6.949.000,KOTA JAKARTA PUSAT,3,16-01-2021
LAPTOP MURAH Laptop Notebook Acer Aspire one Ram 2GB sangat Bagus gress BONUS TAS dan MOUSE,1.650.000,KOTA BEKASI,19,16-01-2021
Acer Aspire E1-471 Intel Core i3 HDD 500GB RAM 2GB Win Windows 7 Laptop Bekas Second Murah,2.100.000,KAB. INDRAMAYU,1,16-01-2021
ACER ASPIRE 3 A315 42 R1RE R3 3200U 4GB 500GB W10 UpRam4GB,6.790.000,KOTA JAKARTA PUSAT,4,16-01-2021
